"east","north","elevation","magnitude","slab"
"181.33","-20.57","-605","4.3","540-630 km"
"166.36","-11.25","-130","5.1","90-180 km"
"181.87","-20.04","-577","4.7","540-630 km"
"181.25","-20.89","-599","4.6","540-630 km"
"186.74","-16.62","-82","4.8","0-90 km"
"168.75","-20.09","-50","4.6","0-90 km"
"179.87","-24.96","-480","4.4","450-540 km"
"181.42","-20.95","-559","4.6","540-630 km"
"179.27","-23.31","-566","5.1","540-630 km"
"181.06","-20.95","-611","4.3","540-630 km"
"181.9","-21.58","-409","4.4","360-450 km"
"167.15","-13.62","-209","4.7","180-270 km"
"166.28","-12.72","-70","4.8","0-90 km"
"185.0","-21.79","-74","4.1","0-90 km"
"169.76","-20.48","-134","4.6","90-180 km"
"166.78","-12.84","-150","4.9","90-180 km"
"182.93","-17.02","-406","4.0","360-450 km"
"182.39","-23.89","-243","4.7","180-270 km"
"184.03","-23.07","-89","4.7","0-90 km"
"181.96","-27.98","-53","5.2","0-90 km"
"182.25","-28.1","-68","4.6","0-90 km"
"180.81","-21.24","-605","4.6","540-630 km"
"180.86","-21.24","-615","4.9","540-630 km"
"174.46","-19.89","-546","5.7","540-630 km"
"179.8","-32.82","-176","4.7","90-180 km"
"185.5","-22.0","-52","4.4","0-90 km"
"185.62","-21.57","-66","4.9","0-90 km"
"180.92","-24.5","-377","4.8","360-450 km"
"180.2","-33.03","-186","4.6","180-270 km"
"182.4","-30.09","-51","4.4","0-90 km"
"170.99","-22.75","-67","4.8","0-90 km"
"168.98","-17.99","-234","4.7","180-270 km"
"181.87","-19.6","-597","4.2","540-630 km"
"186.26","-15.65","-64","5.1","0-90 km"
"181.53","-17.78","-511","4.8","450-540 km"
"184.91","-22.04","-47","4.9","0-90 km"
"168.69","-20.06","-49","5.1","0-90 km"
"181.54","-18.07","-546","4.3","540-630 km"
"165.67","-12.85","-75","4.4","0-90 km"
"181.3","-33.29","-60","4.7","0-90 km"
"179.1","-34.63","-278","4.7","270-360 km"
"179.02","-24.18","-550","5.3","540-630 km"
"180.31","-23.78","-518","5.1","450-540 km"
"171.5","-22.37","-116","4.9","90-180 km"
"179.91","-23.97","-518","4.5","450-540 km"
"181.75","-34.12","-75","4.7","0-90 km"
"179.86","-25.25","-491","4.2","450-540 km"
"172.65","-22.87","-56","5.1","0-90 km"
"182.37","-18.48","-376","4.8","360-450 km"
"181.02","-21.46","-584","4.2","540-630 km"
"183.47","-28.56","-48","4.8","0-90 km"
"183.59","-28.56","-53","4.4","0-90 km"
"180.92","-21.3","-617","4.5","540-630 km"
"183.22","-20.08","-294","4.3","270-360 km"
"182.21","-18.82","-417","5.6","360-450 km"
"183.97","-19.51","-280","4.0","270-360 km"
"167.39","-12.05","-332","5.0","270-360 km"
"186.54","-17.4","-85","4.2","0-90 km"
"180.18","-23.93","-525","4.6","450-540 km"
"181.09","-21.23","-613","4.6","540-630 km"
"167.91","-16.23","-182","4.5","180-270 km"
"183.4","-28.15","-57","5.0","0-90 km"
"185.01","-20.81","-79","4.7","0-90 km"
"181.41","-20.72","-595","4.6","540-630 km"
"184.0","-23.29","-164","4.8","90-180 km"
"176.03","-38.46","-148","4.6","90-180 km"
"186.73","-15.48","-82","4.4","0-90 km"
"177.52","-37.03","-153","5.6","90-180 km"
"181.38","-20.48","-556","4.2","540-630 km"
"181.88","-18.12","-649","5.4","630-720 km"
"181.98","-18.17","-651","4.8","630-720 km"
"166.07","-11.4","-93","5.6","90-180 km"
"180.12","-23.1","-533","4.4","450-540 km"
"170.34","-14.28","-642","4.7","630-720 km"
"171.72","-22.87","-47","4.6","0-90 km"
"180.98","-17.59","-548","5.1","540-630 km"
"182.1","-27.6","-154","4.6","90-180 km"
"180.6","-17.94","-627","4.5","540-630 km"
"180.58","-17.88","-622","4.2","540-630 km"
"180.8","-30.01","-286","4.8","270-360 km"
"182.3","-19.19","-390","4.9","360-450 km"
"180.87","-18.14","-624","5.5","540-630 km"
"180.11","-23.46","-539","5.0","450-540 km"
"181.04","-18.44","-624","4.2","540-630 km"
"180.87","-18.21","-631","5.2","630-720 km"
"180.98","-18.26","-631","4.8","630-720 km"
"184.83","-15.85","-299","4.4","270-360 km"
"180.09","-23.82","-498","4.8","450-540 km"
"184.28","-18.6","-255","4.4","180-270 km"
"181.32","-17.8","-539","4.1","450-540 km"
"166.1","-10.78","-195","4.9","180-270 km"
"181.71","-18.12","-594","4.6","540-630 km"
"182.62","-19.34","-573","4.5","540-630 km"
"167.1","-15.34","-128","5.3","90-180 km"
"182.85","-24.97","-137","4.8","90-180 km"
"186.08","-15.97","-143","4.6","90-180 km"
"180.24","-23.47","-511","4.8","450-540 km"
"179.15","-23.11","-564","4.7","540-630 km"
"181.66","-20.54","-559","4.9","540-630 km"
"169.37","-18.92","-248","5.3","180-270 km"
"184.27","-20.16","-210","4.4","180-270 km"
"180.94","-25.48","-390","4.6","360-450 km"
"181.74","-18.19","-616","4.3","540-630 km"
"186.4","-15.35","-98","4.4","90-180 km"
"169.1","-18.69","-218","4.2","180-270 km"
"181.24","-18.89","-655","4.1","630-720 km"
"183.32","-17.61","-356","4.2","270-360 km"
"181.54","-20.93","-564","5.0","540-630 km"
"181.5","-17.6","-548","4.1","540-630 km"
"181.4","-17.96","-655","4.3","630-720 km"
"182.41","-18.8","-385","5.2","360-450 km"
"182.44","-20.61","-518","4.2","450-540 km"
"181.53","-20.74","-598","4.5","540-630 km"
"179.86","-25.23","-476","4.4","450-540 km"
"179.9","-23.9","-579","4.4","540-630 km"
"181.58","-18.07","-603","5.0","540-630 km"
"185.19","-15.43","-249","4.0","180-270 km"
"167.32","-14.3","-208","4.8","180-270 km"
"181.57","-18.04","-587","5.0","540-630 km"
"167.18","-13.9","-221","4.2","180-270 km"
"177.01","-17.64","-545","5.2","540-630 km"
"181.51","-17.98","-586","5.2","540-630 km"
"180.0","-25.0","-488","4.5","450-540 km"
"184.48","-19.45","-246","4.3","180-270 km"
"187.48","-16.11","-61","4.5","0-90 km"
"179.98","-23.73","-524","4.6","450-540 km"
"186.78","-17.74","-104","5.1","90-180 km"
"183.23","-21.56","-271","4.4","270-360 km"
"181.72","-20.97","-487","4.3","450-540 km"
"186.73","-15.45","-83","4.7","0-90 km"
"167.91","-15.93","-183","5.6","180-270 km"
"185.86","-21.47","-55","4.9","0-90 km"
"170.45","-21.44","-166","5.1","90-180 km"
"180.49","-22.16","-586","4.6","540-630 km"
"172.76","-13.36","-618","4.4","540-630 km"
"181.51","-21.22","-524","4.8","450-540 km"
"182.5","-26.1","-133","4.2","90-180 km"
"185.27","-18.35","-201","4.7","180-270 km"
"182.9","-17.2","-383","4.1","360-450 km"
"171.4","-22.42","-86","4.7","0-90 km"
"181.48","-17.91","-555","4.0","540-630 km"
"178.3","-26.53","-605","4.9","540-630 km"
"178.29","-26.5","-609","5.0","540-630 km"
"168.08","-16.31","-204","4.5","180-270 km"
"169.71","-18.76","-287","4.4","270-360 km"
"182.8","-17.1","-390","4.0","360-450 km"
"182.78","-19.28","-348","4.5","270-360 km"
"180.0","-23.5","-550","4.7","540-630 km"
"181.69","-21.26","-487","4.4","450-540 km"
"181.48","-17.97","-578","4.7","540-630 km"
"181.2","-26.02","-361","4.7","360-450 km"
"180.8","-30.3","-275","4.0","270-360 km"
"179.67","-24.89","-498","4.2","450-540 km"
"167.24","-14.57","-162","4.5","90-180 km"
"186.87","-15.4","-78","4.7","0-90 km"
"183.95","-22.06","-134","4.5","90-180 km"
"178.42","-25.14","-554","4.1","540-630 km"
"181.4","-20.3","-608","4.6","540-630 km"
"181.17","-25.28","-367","4.3","360-450 km"
"181.61","-20.63","-599","4.6","540-630 km"
"186.83","-19.02","-45","5.2","0-90 km"
"185.3","-22.1","-50","4.6","0-90 km"
"175.7","-38.59","-162","4.7","90-180 km"
"183.0","-19.3","-302","5.0","270-360 km"
"181.59","-31.03","-57","5.2","0-90 km"
"181.3","-30.51","-203","4.4","180-270 km"
"183.34","-22.55","-66","4.6","0-90 km"
"180.64","-22.14","-591","4.5","540-630 km"
"180.3","-25.6","-440","4.0","360-450 km"
"181.84","-18.04","-611","4.2","540-630 km"
"185.77","-21.29","-57","5.3","0-90 km"
"180.85","-21.08","-627","5.9","540-630 km"
"169.66","-20.64","-89","4.9","0-90 km"
"180.03","-24.41","-500","4.5","450-540 km"
"167.03","-12.16","-264","4.4","180-270 km"
"185.9","-17.1","-127","5.4","90-180 km"
"185.6","-21.13","-85","5.3","0-90 km"
"167.43","-12.34","-50","5.1","0-90 km"
"186.73","-16.43","-75","4.1","0-90 km"
"184.3","-20.7","-182","4.3","180-270 km"
"180.92","-21.18","-619","4.5","540-630 km"
"185.33","-17.78","-223","4.1","180-270 km"
"183.86","-21.57","-156","5.1","90-180 km"
"166.75","-13.7","-46","5.3","0-90 km"
"167.41","-12.27","-50","4.5","0-90 km"
"184.52","-19.1","-230","4.1","180-270 km"
"184.51","-19.85","-184","4.4","180-270 km"
"166.55","-11.37","-188","4.7","180-270 km"
"186.3","-20.7","-80","4.0","0-90 km"
"185.1","-20.24","-86","5.1","0-90 km"
"182.73","-16.4","-391","4.0","360-450 km"
"184.53","-19.6","-199","4.3","180-270 km"
"180.77","-21.63","-592","4.3","540-630 km"
"180.5","-21.6","-595","4.0","540-630 km"
"181.0","-21.77","-618","4.1","540-630 km"
"183.6","-21.8","-213","4.4","180-270 km"
"180.9","-21.05","-616","4.3","540-630 km"
"165.8","-10.8","-175","4.2","90-180 km"
"181.5","-17.9","-589","4.0","540-630 km"
"171.44","-22.26","-83","4.5","0-90 km"
"171.46","-22.33","-119","4.7","90-180 km"
"184.85","-24.04","-70","5.0","0-90 km"
"186.1","-20.4","-74","4.3","0-90 km"
"184.62","-15.0","-40","5.1","0-90 km"
"183.4","-27.87","-87","4.7","0-90 km"
"166.64","-14.12","-63","5.3","0-90 km"
"180.27","-23.61","-537","5.0","450-540 km"
"185.5","-21.56","-47","4.5","0-90 km"
"181.58","-21.19","-490","5.0","450-540 km"
"181.65","-18.07","-593","4.1","540-630 km"
"178.43","-26.0","-644","4.9","630-720 km"
"181.9","-20.21","-576","4.1","540-630 km"
"182.0","-28.0","-199","4.0","180-270 km"
"180.7","-20.74","-589","4.4","540-630 km"
"180.6","-31.8","-178","4.5","90-180 km"
"169.46","-18.91","-248","4.4","180-270 km"
"182.1","-20.45","-500","4.5","450-540 km"
"183.8","-22.9","-71","4.3","0-90 km"
"181.63","-18.11","-568","4.3","540-630 km"
"184.7","-23.8","-42","5.0","0-90 km"
"180.21","-23.42","-510","4.5","450-540 km"
"184.8","-23.2","-97","4.5","90-180 km"
"169.52","-12.93","-663","4.4","630-720 km"
"181.06","-21.14","-625","4.5","540-630 km"
"184.97","-19.13","-210","4.1","180-270 km"
"181.3","-21.08","-557","4.9","540-630 km"
"181.75","-20.07","-582","4.7","540-630 km"
"182.02","-20.9","-402","4.3","360-450 km"
"179.84","-25.04","-474","4.6","450-540 km"
"180.89","-21.85","-577","4.6","540-630 km"
"186.59","-19.34","-56","5.2","0-90 km"
"167.1","-15.83","-43","4.5","0-90 km"
"183.0","-23.73","-118","4.3","90-180 km"
"181.72","-18.1","-544","4.6","540-630 km"
"180.49","-22.12","-532","4.0","450-540 km"
"185.1","-15.39","-237","4.5","180-270 km"
"186.52","-16.21","-111","4.8","90-180 km"
"180.67","-21.75","-595","4.6","540-630 km"
"180.4","-22.1","-603","4.1","540-630 km"
"179.54","-24.97","-505","4.9","450-540 km"
"186.36","-19.36","-100","4.7","90-180 km"
"179.62","-22.14","-587","4.1","540-630 km"
"182.44","-21.48","-364","4.3","360-450 km"
"168.93","-18.54","-100","4.4","90-180 km"
"182.4","-21.62","-350","4.0","270-360 km"
"166.9","-13.4","-228","4.8","180-270 km"
"185.3","-15.5","-93","4.4","90-180 km"
"185.23","-15.67","-66","4.4","0-90 km"
"183.11","-21.78","-225","4.6","180-270 km"
"180.9","-30.63","-334","4.2","270-360 km"
"185.1","-15.7","-70","4.1","0-90 km"
"184.37","-19.2","-220","4.2","180-270 km"
"182.44","-19.7","-397","4.0","360-450 km"
"182.29","-19.4","-326","4.1","270-360 km"
"185.9","-15.85","-121","4.1","90-180 km"
"168.63","-17.38","-209","4.7","180-270 km"
"179.97","-24.33","-510","4.8","450-540 km"
"185.26","-20.89","-54","5.1","0-90 km"
"169.44","-18.97","-242","5.0","180-270 km"
"181.62","-17.99","-574","4.8","540-630 km"
"185.25","-15.8","-82","4.4","0-90 km"
"182.65","-25.42","-102","5.0","90-180 km"
"169.9","-21.6","-43","5.2","0-90 km"
"180.05","-26.06","-432","4.2","360-450 km"
"181.23","-17.56","-580","4.1","540-630 km"
"180.26","-25.63","-464","4.8","450-540 km"
"179.98","-25.46","-479","4.5","450-540 km"
"180.48","-22.23","-581","5.0","540-630 km"
"181.39","-21.55","-513","5.1","450-540 km"
"185.93","-15.18","-77","4.1","0-90 km"
"166.56","-13.79","-68","4.7","0-90 km"
"167.23","-15.18","-71","5.2","0-90 km"
"186.72","-18.78","-68","4.8","0-90 km"
"181.41","-17.9","-586","4.5","540-630 km"
"185.4","-18.5","-243","4.0","180-270 km"
"171.17","-14.82","-658","4.7","630-720 km"
"185.17","-15.65","-315","4.1","270-360 km"
"181.15","-30.01","-210","4.3","180-270 km"
"167.24","-13.16","-278","4.3","270-360 km"
"180.78","-21.03","-638","4.0","630-720 km"
"180.78","-21.4","-615","4.7","540-630 km"
"181.89","-17.93","-567","4.1","540-630 km"
"181.7","-20.87","-560","4.2","540-630 km"
"166.66","-12.01","-99","4.8","90-180 km"
"169.63","-19.1","-266","4.8","180-270 km"
"181.37","-22.85","-397","4.2","360-450 km"
"185.96","-17.08","-180","4.2","90-180 km"
"174.21","-21.14","-40","5.7","0-90 km"
"167.02","-12.23","-242","6.0","180-270 km"
"181.57","-20.91","-530","4.2","450-540 km"
"167.05","-11.38","-133","4.5","90-180 km"
"167.01","-11.02","-62","4.9","0-90 km"
"180.58","-22.09","-580","4.4","540-630 km"
"181.2","-17.8","-530","4.0","450-540 km"
"182.43","-18.94","-566","4.3","540-630 km"
"182.2","-18.85","-501","4.2","450-540 km"
"181.28","-21.91","-548","4.5","540-630 km"
"179.77","-22.03","-587","4.8","540-630 km"
"181.63","-18.1","-592","4.4","540-630 km"
"184.84","-18.4","-221","4.2","180-270 km"
"181.4","-21.2","-560","4.2","540-630 km"
"166.2","-12.0","-94","5.0","90-180 km"
"166.3","-11.7","-139","4.2","90-180 km"
"182.69","-26.72","-162","5.2","90-180 km"
"178.98","-24.39","-562","4.5","540-630 km"
"169.5","-19.64","-204","4.6","180-270 km"
"170.04","-21.35","-56","5.0","0-90 km"
"184.52","-22.82","-49","5.0","0-90 km"
"177.1","-38.28","-100","5.4","90-180 km"
"167.11","-12.57","-231","4.8","180-270 km"
"180.28","-22.24","-601","4.2","540-630 km"
"166.53","-13.8","-42","5.5","0-90 km"
"183.78","-21.07","-180","4.3","90-180 km"
"181.25","-17.74","-559","4.1","540-630 km"
"180.15","-23.87","-524","4.4","450-540 km"
"185.8","-21.29","-69","4.9","0-90 km"
"180.58","-22.2","-594","4.5","540-630 km"
"185.11","-15.24","-262","4.9","180-270 km"
"181.27","-17.82","-538","4.0","450-540 km"
"180.0","-32.14","-331","4.5","270-360 km"
"185.86","-19.3","-48","5.0","0-90 km"
"180.94","-33.09","-47","4.9","0-90 km"
"181.62","-20.18","-558","4.5","540-630 km"
"181.42","-17.46","-524","4.2","450-540 km"
"181.33","-17.44","-545","4.2","540-630 km"
"179.85","-24.71","-477","4.2","450-540 km"
"170.52","-21.53","-129","5.2","90-180 km"
"169.53","-19.17","-268","4.3","180-270 km"
"182.39","-28.05","-117","5.1","90-180 km"
"179.97","-23.39","-541","4.6","540-630 km"
"171.51","-22.33","-112","4.6","90-180 km"
"185.98","-15.28","-162","4.4","90-180 km"
"181.51","-20.27","-609","4.4","540-630 km"
"165.97","-10.96","-76","4.9","0-90 km"
"169.75","-21.52","-61","5.1","0-90 km"
"184.47","-19.57","-202","4.2","180-270 km"
"183.45","-23.08","-90","4.7","0-90 km"
"182.8","-25.06","-133","4.0","90-180 km"
"181.44","-17.85","-589","5.6","540-630 km"
"167.95","-15.99","-190","5.3","180-270 km"
"184.41","-20.56","-138","5.0","90-180 km"
"181.61","-17.98","-598","4.3","540-630 km"
"181.77","-18.4","-600","4.1","540-630 km"
"182.22","-27.64","-162","5.1","90-180 km"
"181.02","-20.99","-626","4.5","540-630 km"
"167.32","-14.86","-137","4.9","90-180 km"
"182.72","-29.33","-57","5.4","0-90 km"
"182.54","-25.81","-201","4.7","180-270 km"
"166.01","-14.1","-69","4.8","0-90 km"
"185.13","-17.63","-219","4.5","180-270 km"
"180.21","-23.47","-553","4.2","540-630 km"
"180.21","-23.92","-524","4.6","450-540 km"
"185.18","-20.88","-51","4.6","0-90 km"
"184.75","-20.25","-107","5.6","90-180 km"
"186.16","-19.33","-44","5.4","0-90 km"
"181.71","-18.14","-574","4.0","540-630 km"
"183.99","-22.41","-128","5.2","90-180 km"
"181.16","-20.77","-568","4.2","540-630 km"
"181.73","-17.95","-583","4.7","540-630 km"
"181.01","-20.83","-622","4.3","540-630 km"
"182.1","-27.84","-193","4.8","180-270 km"
"182.39","-19.94","-544","4.6","540-630 km"
"183.99","-23.6","-118","5.4","90-180 km"
"184.13","-23.7","-51","4.8","0-90 km"
"182.4","-30.39","-63","4.6","0-90 km"
"182.32","-18.98","-442","4.2","360-450 km"
"182.92","-27.89","-87","5.5","0-90 km"
"184.9","-23.5","-61","4.7","0-90 km"
"184.49","-23.73","-60","4.7","0-90 km"
"181.62","-17.93","-561","4.5","540-630 km"
"178.52","-35.94","-138","5.5","90-180 km"
"184.5","-18.68","-174","4.5","90-180 km"
"179.95","-23.47","-543","4.1","540-630 km"
"180.06","-23.49","-530","4.0","450-540 km"
"180.26","-23.85","-497","4.3","450-540 km"
"183.44","-27.08","-63","4.7","0-90 km"
"184.95","-20.88","-82","4.9","0-90 km"
"181.2","-20.97","-605","4.5","540-630 km"
"183.58","-21.71","-234","4.7","180-270 km"
"184.6","-23.9","-41","4.5","0-90 km"
"167.44","-15.78","-40","4.8","0-90 km"
"166.72","-12.57","-137","4.3","90-180 km"
"184.23","-19.69","-223","4.1","180-270 km"
"183.95","-22.04","-109","5.4","90-180 km"
"181.59","-17.99","-595","4.1","540-630 km"
"180.13","-23.5","-512","4.8","450-540 km"
"180.74","-21.4","-613","4.2","540-630 km"
"166.98","-15.86","-60","4.8","0-90 km"
"184.64","-23.95","-43","5.4","0-90 km"
"182.38","-25.79","-172","4.4","90-180 km"
"184.5","-23.75","-54","5.2","0-90 km"
"184.5","-24.1","-68","4.7","0-90 km"
"169.05","-18.56","-217","4.9","180-270 km"
"184.68","-23.3","-102","4.9","90-180 km"
"185.74","-17.03","-178","4.2","90-180 km"
"183.71","-20.77","-251","4.4","180-270 km"
"183.5","-28.1","-42","4.4","0-90 km"
"182.26","-18.83","-575","4.3","540-630 km"
"170.7","-23.0","-43","4.9","0-90 km"
"181.67","-20.82","-577","5.0","540-630 km"
"170.56","-22.95","-42","4.7","0-90 km"
"183.6","-28.22","-75","4.9","0-90 km"
"183.5","-27.99","-71","4.3","0-90 km"
"187.15","-15.54","-60","4.5","0-90 km"
"166.93","-12.37","-291","4.2","270-360 km"
"171.66","-22.33","-125","5.2","90-180 km"
"170.3","-22.7","-69","4.8","0-90 km"
"181.3","-17.86","-614","4.0","540-630 km"
"184.53","-16.0","-108","4.7","90-180 km"
"181.42","-20.73","-575","4.3","540-630 km"
"181.42","-15.45","-409","4.3","360-450 km"
"183.86","-20.05","-243","4.9","180-270 km"
"181.37","-17.95","-642","4.0","630-720 km"
"188.1","-17.7","-45","4.2","0-90 km"
"179.54","-25.93","-470","4.4","450-540 km"
"167.06","-12.28","-248","4.7","180-270 km"
"184.2","-20.13","-244","4.5","180-270 km"
"187.8","-17.4","-40","4.5","0-90 km"
"170.56","-21.59","-165","6.0","90-180 km"
