"east","north","elevation"
"460.0","620.0","130.0"
"460.0","640.0","124.0"
"460.0","660.0","116.0"
"460.0","680.0","112.0"
"460.0","700.0","107.0"
"460.0","720.0","105.0"
"460.0","740.0","100.0"
"460.0","760.0","96.0"
"460.0","780.0","96.0"
"460.0","800.0","96.0"
"460.0","820.0","96.0"
"460.0","840.0","96.0"
"460.0","860.0","96.0"
"460.0","880.0","95.0"
"480.0","20.0","108.0"
"480.0","40.0","110.0"
"480.0","60.0","112.0"
"480.0","80.0","116.0"
"480.0","100.0","122.0"
"480.0","120.0","129.0"
"480.0","140.0","137.0"
"480.0","160.0","144.0"
"480.0","180.0","152.0"
"480.0","200.0","161.0"
"480.0","220.0","169.0"
"480.0","240.0","176.0"
"480.0","260.0","179.0"
"480.0","280.0","180.0"
"480.0","300.0","178.0"
"480.0","320.0","176.0"
"480.0","340.0","171.0"
"480.0","360.0","163.0"
"480.0","380.0","153.0"
"480.0","400.0","143.0"
"480.0","420.0","135.0"
"480.0","440.0","129.0"
"480.0","460.0","127.0"
"480.0","480.0","124.0"
"480.0","500.0","123.0"
"480.0","520.0","122.0"
"480.0","540.0","120.0"
"480.0","560.0","117.0"
"480.0","580.0","115.0"
"480.0","600.0","118.0"
"480.0","620.0","119.0"
"480.0","640.0","116.0"
"480.0","660.0","112.0"
"480.0","680.0","107.0"
"480.0","700.0","100.0"
"480.0","720.0","100.0"
"480.0","740.0","97.0"
"480.0","760.0","96.0"
"480.0","780.0","96.0"
"480.0","800.0","96.0"
"480.0","820.0","96.0"
"480.0","840.0","96.0"
"480.0","860.0","95.0"
"480.0","880.0","95.0"
"500.0","20.0","108.0"
"500.0","40.0","109.0"
"500.0","60.0","110.0"
"500.0","80.0","112.0"
"500.0","100.0","117.0"
"500.0","120.0","124.0"
"500.0","140.0","131.0"
"500.0","160.0","138.0"
"500.0","180.0","145.0"
"500.0","200.0","152.0"
"500.0","220.0","158.0"
"500.0","240.0","166.0"
"500.0","260.0","170.0"
"500.0","280.0","175.0"
"500.0","300.0","175.0"
"500.0","320.0","171.0"
"500.0","340.0","164.0"
"500.0","360.0","156.0"
"500.0","380.0","149.0"
"500.0","400.0","140.0"
"500.0","420.0","131.0"
"500.0","440.0","126.0"
"500.0","460.0","123.0"
"500.0","480.0","122.0"
"500.0","500.0","120.0"
"500.0","520.0","120.0"
"500.0","540.0","117.0"
"500.0","560.0","111.0"
"500.0","580.0","110.0"
"500.0","600.0","110.0"
"500.0","620.0","109.0"
"500.0","640.0","110.0"
"500.0","660.0","108.0"
"500.0","680.0","103.0"
"500.0","700.0","100.0"
"500.0","720.0","100.0"
"500.0","740.0","97.0"
"500.0","760.0","96.0"
"500.0","780.0","96.0"
"500.0","800.0","96.0"
"500.0","820.0","96.0"
"500.0","840.0","95.0"
"500.0","860.0","95.0"
"500.0","880.0","94.0"
"520.0","20.0","107.0"
"520.0","40.0","109.0"
"520.0","60.0","110.0"
"520.0","80.0","110.0"
"520.0","100.0","115.0"
"520.0","120.0","119.0"
"520.0","140.0","125.0"
"520.0","160.0","130.0"
"520.0","180.0","137.0"
"520.0","200.0","143.0"
"520.0","220.0","148.0"
"520.0","240.0","152.0"
"520.0","260.0","157.0"
"520.0","280.0","160.0"
"520.0","300.0","161.0"
"520.0","320.0","159.0"
"520.0","340.0","153.0"
"520.0","360.0","146.0"
"520.0","380.0","139.0"
"520.0","400.0","130.0"
"520.0","420.0","126.0"
"520.0","440.0","122.0"
"520.0","460.0","120.0"
"520.0","480.0","119.0"
"520.0","500.0","119.0"
"520.0","520.0","117.0"
"520.0","540.0","113.0"
"520.0","560.0","110.0"
"520.0","580.0","109.0"
"520.0","600.0","107.0"
"520.0","620.0","106.0"
"520.0","640.0","104.0"
"520.0","660.0","103.0"
"520.0","680.0","100.0"
"520.0","700.0","100.0"
"520.0","720.0","99.0"
"520.0","740.0","97.0"
"520.0","760.0","96.0"
"520.0","780.0","96.0"
"520.0","800.0","96.0"
"520.0","820.0","96.0"
"520.0","840.0","95.0"
"520.0","860.0","95.0"
"520.0","880.0","94.0"
"540.0","20.0","107.0"
"540.0","40.0","108.0"
"540.0","60.0","109.0"
"540.0","80.0","111.0"
"540.0","100.0","114.0"
"540.0","120.0","116.0"
"540.0","140.0","118.0"
"540.0","160.0","121.0"
"540.0","180.0","125.0"
"540.0","200.0","131.0"
"540.0","220.0","140.0"
"540.0","240.0","142.0"
"540.0","260.0","144.0"
"540.0","280.0","148.0"
"540.0","300.0","148.0"
"540.0","320.0","146.0"
"540.0","340.0","140.0"
"540.0","360.0","136.0"
"540.0","380.0","127.0"
"540.0","400.0","123.0"
"540.0","420.0","119.0"
"540.0","440.0","117.0"
"540.0","460.0","116.0"
"540.0","480.0","116.0"
"540.0","500.0","114.0"
"540.0","520.0","113.0"
"540.0","540.0","110.0"
"540.0","560.0","108.0"
"540.0","580.0","106.0"
"540.0","600.0","105.0"
"540.0","620.0","103.0"
"540.0","640.0","102.0"
"540.0","660.0","103.0"
"540.0","680.0","100.0"
"540.0","700.0","100.0"
"540.0","720.0","98.0"
"540.0","740.0","97.0"
"540.0","760.0","96.0"
"540.0","780.0","96.0"
"540.0","800.0","96.0"
"540.0","820.0","96.0"
"540.0","840.0","95.0"
"540.0","860.0","94.0"
"540.0","880.0","94.0"
"560.0","20.0","106.0"
"560.0","40.0","107.0"
"560.0","60.0","108.0"
"560.0","80.0","109.0"
"560.0","100.0","110.0"
"560.0","120.0","112.0"
"560.0","140.0","114.0"
"560.0","160.0","114.0"
"560.0","180.0","116.0"
"560.0","200.0","119.0"
"560.0","220.0","125.0"
"560.0","240.0","133.0"
"560.0","260.0","134.0"
"560.0","280.0","134.0"
"560.0","300.0","135.0"
"560.0","320.0","135.0"
"560.0","340.0","132.0"
"560.0","360.0","128.0"
"560.0","380.0","121.0"
"560.0","400.0","118.0"
"560.0","420.0","114.0"
"560.0","440.0","111.0"
"560.0","460.0","111.0"
"560.0","480.0","112.0"
"560.0","500.0","110.0"
"560.0","520.0","110.0"
"560.0","540.0","108.0"
"560.0","560.0","107.0"
"560.0","580.0","107.0"
"560.0","600.0","105.0"
"560.0","620.0","104.0"
"560.0","640.0","103.0"
"560.0","660.0","103.0"
"560.0","680.0","101.0"
"560.0","700.0","99.0"
"560.0","720.0","98.0"
"560.0","740.0","96.0"
"560.0","760.0","96.0"
"560.0","780.0","96.0"
"560.0","800.0","96.0"
"560.0","820.0","95.0"
"560.0","840.0","95.0"
"560.0","860.0","94.0"
"560.0","880.0","94.0"
"580.0","20.0","105.0"
"580.0","40.0","106.0"
"580.0","60.0","107.0"
"580.0","80.0","108.0"
"580.0","100.0","109.0"
"580.0","120.0","110.0"
"580.0","140.0","110.0"
"580.0","160.0","110.0"
"580.0","180.0","110.0"
"580.0","200.0","111.0"
"580.0","220.0","115.0"
"580.0","240.0","121.0"
"580.0","260.0","121.0"
"580.0","280.0","121.0"
"580.0","300.0","123.0"
"580.0","320.0","124.0"
"580.0","340.0","121.0"
"580.0","360.0","118.0"
"580.0","380.0","115.0"
"580.0","400.0","112.0"
"580.0","420.0","110.0"
"580.0","440.0","110.0"
"580.0","460.0","110.0"
"580.0","480.0","109.0"
"580.0","500.0","108.0"
"580.0","520.0","107.0"
"580.0","540.0","106.0"
"580.0","560.0","105.0"
"580.0","580.0","104.0"
"580.0","600.0","104.0"
"580.0","620.0","103.0"
"580.0","640.0","102.0"
"580.0","660.0","102.0"
"580.0","680.0","100.0"
"580.0","700.0","99.0"
"580.0","720.0","98.0"
"580.0","740.0","96.0"
"580.0","760.0","96.0"
"580.0","780.0","96.0"
"580.0","800.0","96.0"
"580.0","820.0","95.0"
"580.0","840.0","94.0"
"580.0","860.0","94.0"
"580.0","880.0","94.0"
"600.0","20.0","104.0"
"600.0","40.0","105.0"
"600.0","60.0","106.0"
"600.0","80.0","107.0"
"600.0","100.0","108.0"
"600.0","120.0","108.0"
"600.0","140.0","108.0"
"600.0","160.0","108.0"
"600.0","180.0","108.0"
"600.0","200.0","108.0"
"600.0","220.0","110.0"
"600.0","240.0","110.0"
"600.0","260.0","110.0"
"600.0","280.0","110.0"
"600.0","300.0","113.0"
"600.0","320.0","116.0"
"600.0","340.0","113.0"
"600.0","360.0","110.0"
"600.0","380.0","110.0"
"600.0","400.0","110.0"
"600.0","420.0","109.0"
"600.0","440.0","108.0"
"600.0","460.0","108.0"
"600.0","480.0","106.0"
"600.0","500.0","105.0"
"600.0","520.0","105.0"
"600.0","540.0","105.0"
"600.0","560.0","104.0"
"600.0","580.0","104.0"
"600.0","600.0","103.0"
"600.0","620.0","102.0"
"600.0","640.0","102.0"
"600.0","660.0","100.0"
"600.0","680.0","100.0"
"600.0","700.0","99.0"
"600.0","720.0","97.0"
"600.0","740.0","96.0"
"600.0","760.0","96.0"
"600.0","780.0","96.0"
"600.0","800.0","96.0"
"600.0","820.0","95.0"
"600.0","840.0","94.0"
"600.0","860.0","94.0"
"600.0","880.0","94.0"
"620.0","20.0","103.0"
"620.0","40.0","104.0"
"620.0","60.0","105.0"
"620.0","80.0","106.0"
"620.0","100.0","107.0"
"620.0","120.0","106.0"
"620.0","140.0","105.0"
"620.0","160.0","104.0"
"620.0","180.0","104.0"
"620.0","200.0","105.0"
"620.0","220.0","107.0"
"620.0","240.0","105.0"
"620.0","260.0","107.0"
"620.0","280.0","109.0"
"620.0","300.0","110.0"
"620.0","320.0","110.0"
"620.0","340.0","110.0"
"620.0","360.0","109.0"
"620.0","380.0","109.0"
"620.0","400.0","109.0"
"620.0","420.0","107.0"
"620.0","440.0","107.0"
"620.0","460.0","106.0"
"620.0","480.0","105.0"
"620.0","500.0","104.0"
"620.0","520.0","104.0"
"620.0","540.0","104.0"
"620.0","560.0","103.0"
"620.0","580.0","103.0"
"620.0","600.0","102.0"
"620.0","620.0","101.0"
"620.0","640.0","100.0"
"620.0","660.0","100.0"
"620.0","680.0","100.0"
"620.0","700.0","98.0"
"620.0","720.0","97.0"
"620.0","740.0","96.0"
"620.0","760.0","96.0"
"620.0","780.0","96.0"
"620.0","800.0","95.0"
"620.0","820.0","95.0"
"620.0","840.0","94.0"
"620.0","860.0","94.0"
"620.0","880.0","94.0"
